timestep,total_population,resource_concentration,antibiotic_level,cooperation_index,competition_index,mutation_frequency,avg_fitness,genotype_diversity,genotype_0_density,genotype_1_density,genotype_2_density,genotype_3_density,genotype_4_density,genotype_5_density,genotype_6_density,genotype_7_density
133,53,40,0.0,0.05660377358490566,1.0,0.875,14.75319153131408,5,0.9245283018867925,,,0.018867924528301886,0.018867924528301886,,0.018867924528301886,0.018867924528301886
134,53,40,0.0,0.05660377358490566,1.0,0.875,14.852682263899931,5,0.9245283018867925,,,0.018867924528301886,0.018867924528301886,,0.018867924528301886,0.018867924528301886
135,53,40,0.0,0.05660377358490566,1.0,0.875,14.914142829651475,5,0.9245283018867925,,,0.018867924528301886,0.018867924528301886,,0.018867924528301886,0.018867924528301886
136,53,40,0.0,0.05660377358490566,1.0,0.875,14.957973301879775,5,0.9245283018867925,,,0.018867924528301886,0.018867924528301886,,0.018867924528301886,0.018867924528301886
137,53,40,0.0,0.05660377358490566,1.0,0.875,15.033343071353485,5,0.9245283018867925,,,0.018867924528301886,0.018867924528301886,,0.018867924528301886,0.018867924528301886
138,53,40,0.0,0.05660377358490566,1.0,0.875,15.148755836933631,5,0.9245283018867925,,,0.018867924528301886,0.018867924528301886,,0.018867924528301886,0.018867924528301886
139,53,40,0.0,0.05660377358490566,1.0,0.875,15.246268747991387,5,0.9245283018867925,,,0.018867924528301886,0.018867924528301886,,0.018867924528301886,0.018867924528301886
140,53,40,0.0,0.05660377358490566,1.0,0.875,15.337519830929025,5,0.9245283018867925,,,0.018867924528301886,0.018867924528301886,,0.018867924528301886,0.018867924528301886
141,53,40,0.0,0.05660377358490566,1.0,0.875,15.474508766970605,5,0.9245283018867925,,,0.018867924528301886,0.018867924528301886,,0.018867924528301886,0.018867924528301886
142,53,40,0.0,0.05660377358490566,1.0,0.875,15.610812758331972,5,0.9245283018867925,,,0.018867924528301886,0.018867924528301886,,0.018867924528301886,0.018867924528301886
143,53,40,0.0,0.05660377358490566,1.0,0.875,15.763758020431023,5,0.9245283018867925,,,0.018867924528301886,0.018867924528301886,,0.018867924528301886,0.018867924528301886
144,53,40,0.0,0.05660377358490566,1.0,0.875,15.913051424437162,5,0.9245283018867925,,,0.018867924528301886,0.018867924528301886,,0.018867924528301886,0.018867924528301886
145,53,40,0.0,0.05660377358490566,1.0,0.875,16.026952780034303,5,0.9245283018867925,,,0.018867924528301886,0.018867924528301886,,0.018867924528301886,0.018867924528301886
146,53,40,0.0,0.05660377358490566,1.0,0.875,16.114300442811725,5,0.9245283018867925,,,0.018867924528301886,0.018867924528301886,,0.018867924528301886,0.018867924528301886
147,53,40,0.0,0.05660377358490566,1.0,0.875,16.206985630840094,5,0.9245283018867925,,,0.018867924528301886,0.018867924528301886,,0.018867924528301886,0.018867924528301886
148,53,40,0.0,0.05660377358490566,1.0,0.875,16.30209452471073,5,0.9245283018867925,,,0.018867924528301886,0.018867924528301886,,0.018867924528301886,0.018867924528301886
149,53,40,0.0,0.05660377358490566,1.0,0.875,16.40827640124167,5,0.9245283018867925,,,0.018867924528301886,0.018867924528301886,,0.018867924528301886,0.018867924528301886
150,53,40,0.0,0.05660377358490566,1.0,0.875,16.421539151352707,5,0.9245283018867925,,,0.018867924528301886,0.018867924528301886,,0.018867924528301886,0.018867924528301886
151,53,40,0.0,0.05660377358490566,1.0,0.875,16.475155432666988,5,0.9245283018867925,,,0.018867924528301886,0.018867924528301886,,0.018867924528301886,0.018867924528301886
152,53,40,0.0,0.05660377358490566,1.0,0.875,16.508293710097796,5,0.9245283018867925,,,0.018867924528301886,0.018867924528301886,,0.018867924528301886,0.018867924528301886
153,52,40,0.0,0.057692307692307696,1.0,0.875,16.893584927570934,5,0.9230769230769231,,,0.019230769230769232,0.019230769230769232,,0.019230769230769232,0.019230769230769232
154,52,40,0.0,0.057692307692307696,1.0,0.875,17.0054247986892,5,0.9230769230769231,,,0.019230769230769232,0.019230769230769232,,0.019230769230769232,0.019230769230769232
155,52,40,0.0,0.057692307692307696,1.0,0.875,17.10199220271458,5,0.9230769230769231,,,0.019230769230769232,0.019230769230769232,,0.019230769230769232,0.019230769230769232
156,52,40,0.0,0.057692307692307696,1.0,0.875,17.186306155529984,5,0.9230769230769231,,,0.019230769230769232,0.019230769230769232,,0.019230769230769232,0.019230769230769232
