timestep,total_population,resource_concentration,antibiotic_level,cooperation_index,competition_index,mutation_frequency,avg_fitness,genotype_diversity,genotype_0_density,genotype_1_density,genotype_2_density,genotype_3_density,genotype_4_density,genotype_5_density,genotype_6_density,genotype_7_density,genotype_8_density
122,72,80,1.0,0.0,0.9861111111111112,0.8888888888888888,17.666405272606067,2,0.9861111111111112,,,0.013888888888888888,,,,,
123,66,80,1.0,0.0,0.9848484848484849,0.8888888888888888,17.37743484435849,2,0.9848484848484849,,,0.015151515151515152,,,,,
124,59,80,1.0,0.0,0.9830508474576272,0.8888888888888888,18.56375802409596,2,0.9830508474576272,,,0.01694915254237288,,,,,
125,55,80,1.0,0.0,0.9818181818181818,0.8888888888888888,18.8036921519602,2,0.9818181818181818,,,0.01818181818181818,,,,,
126,51,80,1.0,0.0,0.9803921568627451,0.8888888888888888,20.00154464861916,2,0.9803921568627451,,,0.0196078431372549,,,,,
127,44,80,1.0,0.0,0.9772727272727273,0.8888888888888888,21.931305849748068,2,0.9772727272727273,,,0.022727272727272728,,,,,
128,42,80,1.0,0.0,0.9761904761904762,0.8888888888888888,23.34663955185461,2,0.9761904761904762,,,0.023809523809523808,,,,,
129,36,80,1.0,0.0,0.9722222222222222,0.8888888888888888,25.710991446003177,2,0.9722222222222222,,,0.027777777777777776,,,,,
130,33,80,1.0,0.0,0.9696969696969697,0.8888888888888888,28.05797228046726,2,0.9696969696969697,,,0.030303030303030304,,,,,
131,31,80,1.0,0.0,0.967741935483871,0.8888888888888888,30.29336035455837,2,0.967741935483871,,,0.03225806451612903,,,,,
132,25,80,1.0,0.0,0.96,0.8888888888888888,33.328108924942114,2,0.96,,,0.04,,,,,
133,22,80,1.0,0.0,0.9545454545454546,0.8888888888888888,37.110641358588246,2,0.9545454545454546,,,0.045454545454545456,,,,,
134,15,80,1.0,0.0,0.9333333333333333,0.8888888888888888,43.33735766794079,2,0.9333333333333333,,,0.06666666666666667,,,,,
135,14,80,1.0,0.0,0.9285714285714286,0.8888888888888888,48.355800038730465,2,0.9285714285714286,,,0.07142857142857142,,,,,
136,11,80,1.0,0.0,0.9090909090909091,0.8888888888888888,54.80098767049153,2,0.9090909090909091,,,0.09090909090909091,,,,,
137,9,80,1.0,0.0,0.8888888888888888,0.8888888888888888,64.86221525191746,2,0.8888888888888888,,,0.1111111111111111,,,,,
138,8,80,1.0,0.0,0.875,0.8888888888888888,74.93646672230874,2,0.875,,,0.125,,,,,
139,6,80,1.0,0.0,1.0,0.8888888888888888,86.42908970754365,1,1.0,,,,,,,,
140,3,80,1.0,0.0,1.0,0.8888888888888888,105.80460180551847,1,1.0,,,,,,,,
141,3,80,1.0,0.0,1.0,0.8888888888888888,131.62242484405616,1,1.0,,,,,,,,
142,2,80,1.0,0.0,1.0,0.8888888888888888,174.53339243508196,1,1.0,,,,,,,,
143,3,80,1.0,0.0,1.0,0.8888888888888888,162.1367710616694,1,1.0,,,,,,,,
144,3,80,1.0,0.0,1.0,0.8888888888888888,187.67293325392632,1,1.0,,,,,,,,
145,2,80,1.0,0.0,1.0,0.8888888888888888,257.39442399172935,1,1.0,,,,,,,,
146,3,80,1.0,0.0,1.0,0.8888888888888888,217.10125532757888,1,1.0,,,,,,,,
147,4,80,1.0,0.0,1.0,0.8888888888888888,196.6969463238797,1,1.0,,,,,,,,
148,4,80,1.0,0.0,1.0,0.8888888888888888,205.61762672592215,1,1.0,,,,,,,,
149,4,80,1.0,0.0,1.0,0.8888888888888888,165.46540087115787,1,1.0,,,,,,,,
150,4,80,1.0,0.0,1.0,0.8888888888888888,184.25043857432695,1,1.0,,,,,,,,
151,5,80,1.0,0.0,1.0,0.8888888888888888,174.29324087118414,1,1.0,,,,,,,,
152,5,80,1.0,0.0,1.0,0.8888888888888888,189.04200161354822,1,1.0,,,,,,,,
153,6,80,1.0,0.0,1.0,0.8888888888888888,170.68166058424367,1,1.0,,,,,,,,
