timestep,total_population,resource_concentration,antibiotic_level,cooperation_index,competition_index,mutation_frequency,avg_fitness,genotype_diversity,genotype_0_density,genotype_1_density,genotype_2_density,genotype_3_density,genotype_4_density,genotype_5_density,genotype_6_density,genotype_7_density,genotype_8_density,genotype_9_density,genotype_10_density,genotype_11_density,genotype_13_density,genotype_14_density,genotype_16_density,genotype_15_density,genotype_12_density
89,2444,100,0.0,0.006955810147299509,0.0016366612111292963,0.9333333333333333,48.656909696084085,15,0.9795417348608838,,0.0016366612111292963,0.0020458265139116204,0.0024549918166939444,0.0020458265139116204,0.0024549918166939444,0.0020458265139116204,0.0016366612111292963,0.0012274959083469722,,0.0012274959083469722,,,,,
90,2453,100,0.0,0.006930289441500204,0.0016306563391765185,0.9333333333333333,48.34528608496952,15,0.9796167957602935,,0.0016306563391765185,0.0020383204239706482,0.0024459845087647777,0.0020383204239706482,0.0024459845087647777,0.0020383204239706482,0.0016306563391765185,0.0012229922543823889,,0.0012229922543823889,,,,,
91,2467,100,0.0,0.006890960680989056,0.0016214025131738954,0.9333333333333333,48.058379850464206,15,0.9793271179570329,,0.0016214025131738954,0.002026753141467369,0.0024321037697608433,0.002026753141467369,0.0024321037697608433,0.002026753141467369,0.0016214025131738954,0.0016214025131738954,,0.0012160518848804217,,,,,
92,2481,100,0.0,0.007255139056831923,0.002015316404675534,0.9375,47.778965598158415,16,0.9782345828295043,,0.0016122531237404273,0.002015316404675534,0.0028214429665457475,0.002015316404675534,0.0024183796856106408,0.002015316404675534,0.002015316404675534,0.0016122531237404273,,0.0012091898428053204,,,,,
93,2493,100,0.0,0.008022462896109106,0.0020056157240272766,0.9375,47.478829133749485,16,0.9779382270357,,0.001604492579221821,0.0020056157240272766,0.002807862013638187,0.0024067388688327317,0.0024067388688327317,0.0020056157240272766,0.0020056157240272766,0.001604492579221821,,0.0012033694344163659,,,,,
94,2508,100,0.0,0.007974481658692184,0.001993620414673046,0.9411764705882353,47.20157794654475,17,0.9772727272727273,,0.001594896331738437,0.001993620414673046,0.0027910685805422647,0.0023923444976076554,0.0023923444976076554,0.0023923444976076554,0.001993620414673046,0.001594896331738437,,0.0011961722488038277,,,,,
95,2520,100,0.0,0.007936507936507936,0.001984126984126984,0.9411764705882353,46.90729204520383,17,0.9773809523809524,,0.0015873015873015873,0.001984126984126984,0.002777777777777778,0.002380952380952381,0.002380952380952381,0.002380952380952381,0.001984126984126984,0.0015873015873015873,,0.0011904761904761906,,,,,
96,2533,100,0.0,0.007895775759968417,0.0019739439399921043,0.9411764705882353,46.625674785602925,17,0.97749703908409,,0.0015791551519936833,0.0019739439399921043,0.0027635215159889457,0.002368732727990525,0.002368732727990525,0.002368732727990525,0.0019739439399921043,0.0015791551519936833,,0.0011843663639952626,,,,,
97,2543,100,0.0,0.007864726700747149,0.001966181675186787,0.9411764705882353,46.32660131945695,17,0.9771922925678332,,0.0015729453401494297,0.001966181675186787,0.0027526543452615023,0.0023594180102241447,0.0023594180102241447,0.0023594180102241447,0.001966181675186787,0.0015729453401494297,,0.0011797090051120724,,,,,
98,2559,100,0.0,0.007815552950371238,0.0019538882375928096,0.9411764705882353,46.06219932112054,17,0.9769441187964049,,0.0015631105900742479,0.0023446658851113715,0.0027354435326299334,0.0023446658851113715,0.0023446658851113715,0.0023446658851113715,0.0019538882375928096,0.0015631105900742479,,0.0011723329425556857,,,,,
